Periodo,Codigo EC,Precipitación
2015-1s,21200620,131.78333333333333
2015-2s,21200620,126.03333333333335
2016-1s,21200620,126.89999999999999
2016-2s,21200620,136.26666666666668
2017-1s,21200620,118.51666666666665
2017-2s,21200620,138.20000000000002
2018-1s,21200620,126.60000000000002
2018-2s,21200620,120.45
2019-1s,21200620,111.13333333333333
2019-2s,21200620,105.93333333333334
2020-1s,21200620,75.86666666666666
2020-2s,21200620,99.8
2021-1s,21200620,92.89999999999999
2021-2s,21200620,99.60000000000001
2022-1s,21200620,88.2
2022-2s,21200620,114.7333333333333
2023-1s,21200620,111.66666666666667
2023-2s,21200620,93.89999999999999
2024-1s,21200620,103.68333333333334
2024-2s,21200620,95.81666666666666
2025-1s,21200620,107.91666666666667
2025-2s,21200620,143.2
