Periodo,Codigo EC,Precipitación
2015-1s,24015120,44.76666666666666
2015-2s,24015120,29.183333333333334
2016-1s,24015120,75.41666666666667
2016-2s,24015120,86.11666666666667
2017-1s,24015120,120.61666666666667
2017-2s,24015120,73.55
2018-1s,24015120,94.66666666666667
2018-2s,24015120,70.1
2019-1s,24015120,90.85000000000002
2019-2s,24015120,64.05
2020-1s,24015120,76.68333333333334
2020-2s,24015120,108.83333333333333
2021-1s,24015120,104.65000000000002
2021-2s,24015120,106.73333333333333
2022-1s,24015120,119.99999999999999
2022-2s,24015120,126.05000000000001
2023-1s,24015120,84.91666666666667
2023-2s,24015120,55.54999999999999
2024-1s,24015120,81.73333333333333
2024-2s,24015120,100.2
2025-1s,24015120,111.33333333333333
2025-2s,24015120,60.9
