Periodo,Codigo EC,Precipitación
2015-1s,21160040,185.66666666666666
2015-2s,21160040,99.16666666666667
2016-1s,21160040,162.1
2016-2s,21160040,165.0
2017-1s,21160040,296.3333333333333
2017-2s,21160040,179.0
2018-1s,21160040,257.59999999999997
2018-2s,21160040,172.33333333333334
2019-1s,21160040,239.66666666666666
2019-2s,21160040,180.16666666666666
2020-1s,21160040,206.33333333333334
2020-2s,21160040,253.33333333333334
2021-1s,21160040,317.3333333333333
2021-2s,21160040,224.0
2022-1s,21160040,277.8333333333333
2022-2s,21160040,281.5
2023-1s,21160040,229.0
2023-2s,21160040,177.83333333333334
2024-1s,21160040,242.0
2024-2s,21160040,250.66666666666666
2025-1s,21160040,283.0
2025-2s,21160040,178.53333333333333
