Periodo,Codigo EC,Precipitación
2015-1s,21201180,49.56666666666667
2015-2s,21201180,33.75
2016-1s,21201180,61.11666666666667
2016-2s,21201180,76.98333333333332
2017-1s,21201180,85.38333333333334
2017-2s,21201180,66.58333333333334
2018-1s,21201180,83.35000000000001
2018-2s,21201180,47.76666666666666
2019-1s,21201180,83.0
2019-2s,21201180,53.333333333333336
2020-1s,21201180,60.23333333333334
2020-2s,21201180,78.86666666666666
2021-1s,21201180,92.5
2021-2s,21201180,85.81666666666666
2022-1s,21201180,111.09999999999998
2022-2s,21201180,99.16666666666667
2023-1s,21201180,71.85
2023-2s,21201180,32.949999999999996
2024-1s,21201180,48.666666666666664
2024-2s,21201180,69.3
