Periodo,Codigo EC,Precipitación
2015-1s,21200780,115.5
2015-2s,21200780,121.03333333333332
2016-1s,21200780,86.86666666666667
2016-2s,21200780,105.76666666666667
2017-1s,21200780,105.59999999999998
2017-2s,21200780,75.9
2018-1s,21200780,125.06666666666668
2018-2s,21200780,112.09999999999998
2019-1s,21200780,97.51666666666667
2019-2s,21200780,91.89999999999999
2020-1s,21200780,111.88333333333334
2020-2s,21200780,73.03333333333333
2021-1s,21200780,125.06666666666668
2021-2s,21200780,114.90000000000002
2022-1s,21200780,83.46666666666667
2022-2s,21200780,120.01666666666667
2023-1s,21200780,123.66666666666667
2023-2s,21200780,121.31666666666666
2024-1s,21200780,86.43333333333334
2024-2s,21200780,95.55000000000001
