station_id,station_name,latitude,longitude
21080030,"YAGUARA",9.224444444,-75.83444444
21160040,"ACO",9.224444444,-75.83444444
21200620,"PISCIS",9.224444444,-75.83444444
21200780,"POTRERO LARGO",9.224444444,-75.83444444
21201180,"GUANQUICA",9.224444444,-75.83444444
21201320,"LA UNION",9.224444444,-75.83444444
23050250,"NORCASIA RADIO",9.224444444,-75.83444444
23085110,"EL PENOL",9.224444444,-75.83444444
24015120,"ISLA DEL SANTUARIO",9.224444444,-75.83444444
26030150,"LA SALVAJINA",9.224444444,-75.83444444
35060100,"ESCUELA TENA",9.224444444,-75.83444444
