CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2018-07-01 00:00,mm,536.6,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2018-08-01 00:00,mm,426.6,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2018-09-01 00:00,mm,295.2,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2018-10-01 00:00,mm,188.5,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2018-11-01 00:00,mm,117.1,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2018-12-01 00:00,mm,23.9,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2019-01-01 00:00,mm,24.6,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2019-02-01 00:00,mm,30.1,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2019-03-01 00:00,mm,84.4,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2019-04-01 00:00,mm,206.2,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2019-05-01 00:00,mm,403.4,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2019-06-01 00:00,mm,509,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2019-07-01 00:00,mm,447.9,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2019-08-01 00:00,mm,456.2,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2019-09-01 00:00,mm,286.2,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2019-10-01 00:00,mm,275.2,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2019-11-01 00:00,mm,97.2,Preliminar
35070190,CHIVOR [35070190],PRECIPITACION,Precipitación total mensual,2019-12-01 00:00,mm,45.7,Preliminar
