Embalse,Periodo,Codigo EC,Caudal,Codigo EP,Precipitacion
Mu?a,2017-1s,3103470,21.1362358806964,21201320,154.333333333333
Mu?a,2017-2s,3103470,21.1820962365591,21201320,104.283333333333
Mu?a,2018-1s,3103470,26.2190888376856,21201320,125.74
Mu?a,2018-2s,3103470,19.204238530466,21201320,
Mu?a,2019-1s,3103470,20.8678156298003,,
Mu?a,2019-2s,3103470,18.1946892473118,,
Mu?a,2020-1s,3103470,39.9320542392782,,
Mu?a,2020-2s,3103470,42.1329082437276,,
Mu?a,2021-1s,3103470,41.6559850358423,,
Mu?a,2021-2s,3103470,37.2790363799283,,
Mu?a,2022-1s,3103470,27.800462532002,,
Mu?a,2022-2s,3103470,34.6750652329749,,
Mu?a,2023-1s,3103470,26.4643155657962,,
Mu?a,2023-2s,3103470,21.8113198924731,,
Mu?a,2024-1s,3103470,18.6411172413793,21201320,39.9333333333333
Mu?a,2024-2s,3103470,11.4361840363937,21201320,31.4833333333333
Mu?a,2025-1s,3103470,,21201320,32.05
Miel-Norcasia,2015-1s,3103480,262.735038914491,23050250,371.666666666667
Miel-Norcasia,2015-2s,3103480,126.194476702509,23050250,296
Miel-Norcasia,2016-1s,3103480,168.709717816092,23050250,262.833333333333
Miel-Norcasia,2016-2s,3103480,242.940588172043,23050250,420
Miel-Norcasia,2017-1s,3103480,318.086082206861,23050250,499.166666666667
Miel-Norcasia,2017-2s,3103480,284.548105197133,23050250,515.333333333333
Miel-Norcasia,2018-1s,3103480,325.942331336406,23050250,407.2
Miel-Norcasia,2018-2s,3103480,264.840083512545,23050250,435.5
Miel-Norcasia,2019-1s,3103480,297.168750819252,23050250,409.166666666667
Miel-Norcasia,2019-2s,3103480,203.644451433692,23050250,385.166666666667
Miel-Norcasia,2020-1s,3103480,211.326243251761,23050250,229
Miel-Norcasia,2020-2s,3103480,302.863167741935,23050250,425.833333333333
Miel-Norcasia,2021-1s,3103480,330.70527844342,23050250,363
Miel-Norcasia,2021-2s,3103480,338.493262365591,23050250,500.833333333333
Miel-Norcasia,2022-1s,3103480,367.524764631336,23050250,456
Miel-Norcasia,2022-2s,3103480,334.605529749104,23050250,479.166666666667
Miel-Norcasia,2023-1s,3103480,308.664155542755,23050250,437.833333333333
Miel-Norcasia,2023-2s,3103480,213.251429928315,23050250,365
Miel-Norcasia,2024-1s,3103480,252.446250290446,23050250,291.166666666667
Miel-Norcasia,2024-2s,3103480,216.197100909843,23050250,360.5
Miel-Norcasia,2025-1s,3103480,,23050250,360.666666666667
