Embalse,ar,br,Observaciones
Betania,465.911568864582,0.00891197529135464,118
Guatape,143.284471421882,0.277401673497816,126
Guavio,24.7924328334681,0.332999983974412,124
Miel-Norcasia,26.0205537429327,0.389456143700961,126
Muna,14.1718668786519,0.0844144055438724,124
Neusa,17.8816990785735,0.307282032403428,122
Prado,7.92886795789617,0.191312659512785,111
Salvajina,0.3187502721881,0.451677590847336,124
Sisga,43.9466756105836,0.253981239219034,124
Tomine,42.3556502149786,0.248397338596194,126
