Embalse,ar,br,R²
Betania,276.4736744665538,0.0982010696003319,0.10690013516024022
Guatape,3.5320521908740727,0.8086724427314461,0.250952445059599
Guavio,2.883684493241157,0.6195588664993872,0.6623068288819096
Miel-Norcasia,1.5440604284460517,0.7261891192104368,0.43348270486823026
Muna,18.95140036304126,0.017254921580249282,0.00020215724089911458
Neusa,6.982404330560423,0.4144396868650147,0.1156729276094346
Prado,8.130990365594432,0.15142696968669603,0.015095283205013077
Salvajina,0.00854033622650707,0.9319890025912406,0.2485786730783065
Sisga,9.54967872282932,0.47121817358440543,0.673441950224483
Tomine,5.658616080008073,0.5548655357256557,0.41245523267264694
