Embalse,ar_semester,br_semester,R²_semester,n_semesters
Betania,137.6296105561788,0.1943718941238359,0.35386432531936607,21
Guatape,0.09599517351113364,1.2420535288421866,0.4236258415372851,21
Guavio,36711.15332250062,-0.7967821763710881,0.27036636516907875,21
Miel-Norcasia,0.4080983884848118,0.8350945854014883,0.4867633506425376,21
Muna,75.59650104329147,-0.182493892559202,0.06299783698047146,21
Neusa,1.5594482572297563,0.6328472814715904,0.38309307174369944,21
Prado,3.5294896120028776,0.27710456545254686,0.08145423354578352,21
Salvajina,1.1570842977703237,0.16760091084668427,0.007826858582037022,21
Sisga,5.339841942492548,0.5037012979719475,0.18750106132623212,21
Tomine,96.0901252956462,0.0559117169994241,0.002374815652445128,21
