CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2015-01-01 00:00,mm,138.8,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2015-02-01 00:00,mm,126.4,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2015-03-01 00:00,mm,330.4,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2015-04-01 00:00,mm,298.2,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2015-05-01 00:00,mm,161.2,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2015-06-01 00:00,mm,30.5,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2015-07-01 00:00,mm,139.7,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2015-08-01 00:00,mm,47.2,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2015-09-01 00:00,mm,52.4,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2015-10-01 00:00,mm,229,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2015-11-01 00:00,mm,540.7,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2015-12-01 00:00,mm,39.5,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2016-01-01 00:00,mm,58.1,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2016-02-01 00:00,mm,125,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2016-03-01 00:00,mm,236.3,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2016-04-01 00:00,mm,266.3,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2016-05-01 00:00,mm,217.6,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2016-06-01 00:00,mm,150.8,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2016-07-01 00:00,mm,60.7,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2016-08-01 00:00,mm,40.3,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2016-09-01 00:00,mm,108.3,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2016-10-01 00:00,mm,324.7,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2016-11-01 00:00,mm,305.9,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2016-12-01 00:00,mm,382.9,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2017-01-01 00:00,mm,218.3,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2017-02-01 00:00,mm,75.5,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2017-03-01 00:00,mm,354.3,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2017-04-01 00:00,mm,233.6,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2017-05-01 00:00,mm,248.1,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2017-06-01 00:00,mm,251,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2017-07-01 00:00,mm,6.8,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2017-08-01 00:00,mm,213.1,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2017-09-01 00:00,mm,65.7,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2017-10-01 00:00,mm,245.3,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2017-11-01 00:00,mm,268.2,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2017-12-01 00:00,mm,206,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2018-01-01 00:00,mm,190,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2018-02-01 00:00,mm,190.9,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2018-03-01 00:00,mm,191.1,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2018-04-01 00:00,mm,167.3,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2018-05-01 00:00,mm,371.3,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2018-06-01 00:00,mm,137.5,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2018-07-01 00:00,mm,88.5,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2018-08-01 00:00,mm,52.6,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2018-09-01 00:00,mm,229.4,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2018-10-01 00:00,mm,312.3,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2018-11-01 00:00,mm,472.8,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2018-12-01 00:00,mm,44.6,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2019-01-01 00:00,mm,148.1,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2019-02-01 00:00,mm,192.2,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2019-03-01 00:00,mm,212.1,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2019-04-01 00:00,mm,312.1,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2019-05-01 00:00,mm,304.7,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2019-06-01 00:00,mm,145.1,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2019-07-01 00:00,mm,86,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2019-08-01 00:00,mm,3,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2019-09-01 00:00,mm,191.4,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2019-10-01 00:00,mm,160.2,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2019-11-01 00:00,mm,329.9,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2019-12-01 00:00,mm,315.1,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2020-01-01 00:00,mm,50.5,Definitivo
26030150,SALVAJINA LA [26030150],PRECIPITACION,Precipitación total mensual,2020-02-01 00:00,mm,147.1,Definitivo
