CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2019-07-01 00:00,mm,176.3,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2019-08-01 00:00,mm,25.7,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2019-09-01 00:00,mm,222.9,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2019-10-01 00:00,mm,295.8,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2019-11-01 00:00,mm,197.4,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2019-12-01 00:00,mm,163.4,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2020-01-01 00:00,mm,16.8,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2020-02-01 00:00,mm,90.4,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2020-03-01 00:00,mm,120.8,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2020-04-01 00:00,mm,147.4,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2020-05-01 00:00,mm,133,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2020-06-01 00:00,mm,171.7,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2020-08-01 00:00,mm,246,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2020-09-01 00:00,mm,237.4,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2020-10-01 00:00,mm,125.7,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2020-11-01 00:00,mm,282.6,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2020-12-01 00:00,mm,188.9,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2021-01-01 00:00,mm,23.8,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2021-02-01 00:00,mm,150.6,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2021-03-01 00:00,mm,316.3,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2021-04-01 00:00,mm,258.7,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2021-05-01 00:00,mm,357.7,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2021-06-01 00:00,mm,291.5,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2021-07-01 00:00,mm,127,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2021-08-01 00:00,mm,246,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2021-09-01 00:00,mm,200.1,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2021-10-01 00:00,mm,237.9,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2021-11-01 00:00,mm,294.7,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2021-12-01 00:00,mm,90.5,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2022-01-01 00:00,mm,145.8,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2022-02-01 00:00,mm,160.6,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2022-03-01 00:00,mm,480.5,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2022-04-01 00:00,mm,344,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2022-05-01 00:00,mm,204.7,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2022-06-01 00:00,mm,229.6,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2022-07-01 00:00,mm,255.1,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2022-08-01 00:00,mm,206.7,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2022-09-01 00:00,mm,249.6,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2022-10-01 00:00,mm,298.4,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2022-11-01 00:00,mm,296.4,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2022-12-01 00:00,mm,129.7,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2023-01-01 00:00,mm,102.9,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2023-02-01 00:00,mm,69.6,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2023-03-01 00:00,mm,205.5,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2023-04-01 00:00,mm,182.9,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2023-05-01 00:00,mm,265.3,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2023-06-01 00:00,mm,197.8,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2023-07-01 00:00,mm,151.1,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2023-08-01 00:00,mm,165.1,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2023-09-01 00:00,mm,136.4,Preliminar
23085110,EL PENOL [23085110],PRECIPITACION,Precipitación total mensual,2023-10-01 00:00,mm,268.9,Preliminar
