idDataset,nombreConjuntoDatos,fechaPublicacion,fechaActualizacion,inicioDato,finDato,fechaDescarga,urlConexionAPI,urlConjuntoDatos,tipoPublicacion
b94b3c,Limitación de suministro en bolsa según la Res. CREG 001 de 2003,2023-09-29T21:57:06.05,2025-12-13T07:15:56.13,2013-02-15T00:00:00,2025-12-05T00:00:00,2025-04-22T08:15:24.74,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=b94b3c,https://www.simem.co/datadetail/b94b3c99-857b-4264-ae24-ac5e2076a18f,Público
9a1b87,Insumos para el Precio Marginal de Escasez,2025-10-30T10:16:39.22,2025-12-13T10:22:19.903,2017-12-01T00:00:00,2025-12-08T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=9a1b87,https://www.simem.co/datadetail/9a1b870e-3a12-414c-bdef-acb169da1f4c,Público
ff15e5,Disponibilidad asociada con arranque utilizando tecnología térmica a gas ciclo sting,2025-09-22T16:39:51.667,2025-12-13T10:27:21.79,2021-01-01T00:00:00,2025-12-10T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=ff15e5,https://www.simem.co/datadetail/ff15e5aa-0e8e-4e12-a538-addb7529b290,Público
a016ba,Pronóstico del CND de demanda por Área operativa,2023-09-28T22:45:56.75,2025-12-01T21:19:54.423,2020-11-01T00:00:00,2025-11-30T00:00:00,2025-04-29T20:49:30.727,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=a016ba,https://www.simem.co/datadetail/a016bac9-eaa1-45bb-8db2-ae01600e1d18,Público
f9d42a,Precios horarios futuros y estadísticas de los contratos entre agentes por comercializador y generador,2023-09-29T11:16:13.64,2025-12-02T08:23:33.757,2023-09-01T00:00:00,2030-11-01T00:00:00,2025-02-13T16:01:38.243,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=f9d42a,https://www.simem.co/datadetail/f9d42a43-e412-4777-89d3-ae76af8bcdcd,Público
861936,Generaciones candidatas a ser inflexibles,2023-09-28T20:27:03.407,2025-12-13T10:28:47.323,2021-01-01T00:00:00,2025-12-10T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=861936,https://www.simem.co/datadetail/86193682-66b0-400b-af57-afa4e38dabf9,Público
6D20B3,PerdidasDemandaTIEAgente,2023-09-28T23:10:00.453,2025-11-19T20:16:51.247,2024-10-01T00:00:00,2025-08-31T00:00:00,2024-12-14T12:01:30.62,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=6D20B3,https://www.simem.co/datadetail/6d20b32d-19b8-46f6-ad66-b033fdcb5e5d,Público
547a91,Fondo de energía social (FOES),2025-10-29T10:02:06.157,2025-12-11T10:16:38.317,2025-08-01T00:00:00,2025-11-01T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=547a91,https://www.simem.co/datadetail/547a9108-27d4-4ddd-8e32-b05f024d1394,Público
09a70a,Indices VERE y VEREC Energético Largo Plazo,2023-10-11T09:06:04.61,2025-11-15T18:29:55.1,2022-01-01T00:00:00,2030-10-01T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=09a70a,https://www.simem.co/datadetail/09a70a19-f6f2-4585-b3ec-b1474c836807,Público
BDD0C0,PrecioOfertaArranqueParadaUnidadCOP,2025-07-07T11:15:56.067,,0001-01-01T00:00:00,0001-01-01T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=BDD0C0,https://www.simem.co/datadetail/bdd0c0b4-e528-4c13-b067-b208016e2f65,Público
1237df,Bandera de arranque de plantas,2025-10-10T15:45:15.53,2025-10-16T02:39:59.24,2021-01-01T00:00:00,2025-10-11T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=1237df,https://www.simem.co/datadetail/1237df6e-fe61-44cc-81cc-b2c1f07088c8,Público
965765,Costo unitario SIMEM y SICEP,2024-10-07T17:22:20.84,2025-11-28T21:53:51.86,2023-01-01T00:00:00,2024-01-01T00:00:00,2025-03-13T19:55:03.637,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=965765,https://www.simem.co/datadetail/96576596-86ee-4eb0-9c8c-b30e6c19c72f,Público
ea754c,Datos soporte del proceso de Demandas por versión y diaria,2023-09-28T20:03:27.04,2025-11-19T20:32:58.437,2013-01-01T00:00:00,2025-09-30T00:00:00,2024-11-24T12:04:04.07,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=ea754c,https://www.simem.co/datadetail/ea754c7d-dde4-46b3-8fa1-b38ad807c89f,Público
BD26DC,Nivel de embalse declarado por el agente diariamente,2023-09-28T22:04:50.36,2025-12-13T10:24:59.943,2021-01-01T00:00:00,2025-12-10T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=BD26DC,https://www.simem.co/datadetail/bd26dc79-5f30-4928-bf53-b3a024fce938,Público
B53464,Reconciliación negativa para planta que realiza AGC,2023-09-28T20:27:03.407,2025-12-13T10:28:31.84,2021-01-01T00:00:00,2025-12-10T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=B53464,https://www.simem.co/datadetail/b53464bc-6e93-43f9-8a86-b3c6ad89262d,Público
C5CDA8,DDVSistema,2025-03-07T15:34:44.65,,0001-01-01T00:00:00,0001-01-01T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=C5CDA8,https://www.simem.co/datadetail/c5cda84b-9e5f-44db-9d7d-b48e822f28c6,Público
51407A,Informe semestral de planeamiento operativo eléctrico de largo plazo,2023-09-30T19:35:39.087,2025-10-01T10:18:04.35,2022-01-01T00:00:00,2025-07-01T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=51407A,https://www.simem.co/datadetail/51407a2b-45bc-446c-95d8-b49842a4758c,Público
5f8082,Precios promedios mensuales de contratos con UNR para el total del SIN,2023-09-29T18:04:28.427,2025-11-20T03:14:35.227,2023-01-01T00:00:00,2025-10-01T00:00:00,2025-04-10T14:19:15.9,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=5f8082,https://www.simem.co/datadetail/5f808230-f67f-447c-9535-b4bbfc08f2b3,Público
0E4A36,Promedio aritmético anual acumulado de la representatividad de la energía transada,2023-09-29T13:32:44.803,2025-11-13T13:38:50,2023-08-05T00:00:00,2025-10-31T00:00:00,2024-05-09T13:49:14.9,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=0E4A36,https://www.simem.co/datadetail/0e4a3661-c55a-4b29-874b-b54a1bca242a,Público
A9A900,DemandaComercialColombiaEcuadorVenezuela,2025-03-07T15:34:44.65,,0001-01-01T00:00:00,0001-01-01T00:00:00,,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=A9A900,https://www.simem.co/datadetail/a9a9002d-a9f8-47bf-b63a-b5a10eebb6b5,Público
da2c83,Estadísticas de precios por comercializador de los contratos adjudicados en subastas del Ministerio (MME),2023-09-18T17:17:33.267,2025-12-11T13:25:46.733,2022-01-01T00:00:00,2025-11-01T00:00:00,2024-07-25T14:56:10.027,https://www.simem.coPublicData?startDate=2025-12-13&endDate=2025-12-13&datasetId=da2c83,https://www.simem.co/datadetail/da2c8370-f180-49be-8116-b696474988cd,Público
