Embalse;Periodo;Codigo EC;Caudal;Codigo EP;Precipitacion;Ln(c);Ln(p)
;2015-1s;3102010;208.634283154122;;;5.34058287783625;
;2015-2s;3102010;343.418637992832;;;5.83895022186775;
;2016-1s;3102010;231.449918607094;;;5.44436351581204;
;2016-2s;3102010;475.855562903226;;;6.16511436890547;
;2017-1s;3102010;284.636146594982;;;5.65121168600612;
;2017-2s;3102010;615.703743189964;;;6.4227659114666;
;2018-1s;3102010;277.953742217102;;;5.62745470494296;
;2018-2s;3102010;524.173922759857;;;6.26182354291374;
;2019-1s;3102010;239.565110240655;;;5.4788252389464;
;2019-2s;3102010;473.793521505376;;;6.16077161815162;
;2020-1s;3102010;177.1823390681;;;5.17717936654535;
;2020-2s;3102010;520.415969175627;;;6.25462843251578;
;2021-1s;3102010;265.58126077829;;;5.5819208608146;
;2021-2s;3102010;556.012463978495;;;6.32079071122683;
;2022-1s;3102010;372.60948828725;;;5.92053092291908;
;2022-2s;3102010;629.883320250896;;;6.44553459628188;
;2023-1s;3102010;249.573998169483;;;5.51975545706832;
;2023-2s;3102010;412.786604480287;;;6.02293076325393;
;2024-1s;3102010;249.09454558769;;;5.51783252555185;
;2024-2s;3102010;451.339946415771;;;6.11222081702122;
;2015-1s;3103010;1021.27537890425;;;6.92880749668967;
;2015-2s;3103010;630.532508960573;;;6.44656471467938;
;2016-1s;3103010;820.654591552342;;;6.71010230418129;
;2016-2s;3103010;1066.54601344086;;;6.97218068132283;
;2017-1s;3103010;1633.40677252944;;;7.39842315719294;
;2017-2s;3103010;1077.5000953405;;;6.98239891046096;
;2018-1s;3103010;1303.27438197645;;;7.17263513206822;
;2018-2s;3103010;1027.01432849462;;;6.93441116162736;
;2019-1s;3103010;1120.4761077701;;;7.02150897018464;
;2019-2s;3103010;971.834391577061;;;6.87918541090834;
;2020-1s;3103010;819.83804663824;;;6.70910681665209;
;2020-2s;3103010;938.446796415771;;;6.84422616439913;
;2021-1s;3103010;1427.95998211726;;;7.26400211877945;
;2021-2s;3103010;1357.09821827957;;;7.21310403619837;
;2022-1s;3103010;1472.64966927803;;;7.29481855333364;
;2022-2s;3103010;1302.41129659498;;;7.17197266888617;
;2023-1s;3103010;1263.65999877112;;;7.14176755020897;
;2023-2s;3103010;745.674008422939;;;6.61428851866931;
;2024-1s;3103010;928.902612056606;;;6.83400390237855;
;2024-2s;3103010;749.039053763441;;;6.61879112336411;
;2025-1s;3103010;;;;;
;2015-1s;3103015;3173.15549155146;;;8.06248179496854;
;2015-2s;3103015;2662.08835125448;;;7.88686618820687;
;2016-1s;3103015;2328.25859610679;;;7.7528758834842;
;2016-2s;3103015;4049.32615501792;;;8.30630576478059;
;2017-1s;3103015;4505.59418300051;;;8.41307505546294;
;2017-2s;3103015;4575.29968315412;;;8.42842748007886;
;2018-1s;3103015;4095.84940561956;;;8.31772939983729;
;2018-2s;3103015;4191.13821415771;;;8.34072762618293;
;2019-1s;3103015;3467.49827405274;;;8.15118865443911;
;2019-2s;3103015;3468.11915394265;;;8.15136769542516;
;2020-1s;3103015;2448.03744325176;;;7.80304193896122;
;2020-2s;3103015;4677.4723297491;;;8.45051314252393;
;2021-1s;3103015;3771.57666260881;;;8.235248405909;
;2021-2s;3103015;4581.0682937276;;;8.42968750181482;
;2022-1s;3103015;4608.73795454429;;;8.43570933593914;
;2022-2s;3103015;5984.65379731183;;;8.6969537712583;
;2023-1s;3103015;3686.95714180748;;;8.21255677402975;
;2023-2s;3103015;2936.43688405018;;;7.98495218113382;
;2024-1s;3103015;2543.04347136942;;;7.841116859798;
;2024-2s;3103015;3609.50941200717;;;8.19132714514118;
;2025-1s;3103015;;;;;
;2015-1s;3103045;4.37357747055812;;;1.47558131735027;
;2015-2s;3103045;2.90807508960573;;;1.06749138107302;
;2016-1s;3103045;4.32186258806081;;;1.46368646397927;
;2016-2s;3103045;4.06311899641577;;;1.40195090439748;
;2017-1s;3103045;8.90645527393753;;;2.18677632550507;
;2017-2s;3103045;3.77285448028674;;;1.32783187153622;
;2018-1s;3103045;4.18028369175627;;;1.43037911307489;
;2018-2s;3103045;3.58945985663082;;;1.27800173341728;
;2019-1s;3103045;3.00202850742448;;;1.09928822931025;
;2019-2s;3103045;2.20274444444444;;;0.789704057661619;
;2020-1s;3103045;;;;;
;2020-2s;3103045;;;;;
;2021-1s;3103045;;;;;
;2021-2s;3103045;;;;;
;2022-1s;3103045;;;;;
;2022-2s;3103045;;;;;
;2023-1s;3103045;;;;;
;2023-2s;3103045;;;;;
;2024-1s;3103045;;;;;
;2024-2s;3103045;;;;;
;2025-1s;3103045;;;;;
;2015-1s;3103090;31.3575157450077;;;3.44545397502954;
;2015-2s;3103090;17.6806666666667;;;2.87247176388924;
;2016-1s;3103090;28.6259780187863;;;3.35431462788589;
;2016-2s;3103090;30.8434152329749;;;3.4289232829327;
;2017-1s;3103090;79.1236859575013;;;4.37101227315426;
;2017-2s;3103090;40.4709283154122;;;3.70058389698427;
;2018-1s;3103090;66.5098929339478;;;4.19735070252128;
;2018-2s;3103090;53.3368123655914;;;3.97662675629305;
;2019-1s;3103090;59.5086415386585;;;4.08612153794971;
;2019-2s;3103090;38.2953240143369;;;3.64532780033469;
;2020-1s;3103090;48.1288207390928;;;3.87388118143772;
;2020-2s;3103090;52.2929779569892;;;3.95686209737185;
;2021-1s;3103090;86.2680540962622;;;4.45745935686171;
;2021-2s;3103090;62.8992711469534;;;4.14153457615044;
;2022-1s;3103090;93.6267792114695;;;4.53931644525062;
;2022-2s;3103090;89.9930141577061;;;4.49973204684771;
;2023-1s;3103090;132.131474750384;;;4.88379744772298;
;2023-2s;3103090;;;;;
;2024-1s;3103090;;;;;
;2024-2s;3103090;;;;;
;2025-1s;3103090;;;;;
;2015-1s;3103100;403.06846390169;;;5.99910643312989;
;2015-2s;3103100;212.996379928315;;;5.36127516992328;
;2016-1s;3103100;282.789796669139;;;5.64470385370088;
;2016-2s;3103100;373.850777240143;;;5.92385672645979;
;2017-1s;3103100;793.654553622632;;;6.67664829557204;
;2017-2s;3103100;510.254698566308;;;6.23491001000877;
;2018-1s;3103100;661.208567677932;;;6.49406932363354;
;2018-2s;3103100;515.085243727599;;;6.24433240876768;
;2019-1s;3103100;580.155060483871;;;6.36329541347183;
;2019-2s;3103100;413.196909856631;;;6.02392425865177;
;2020-1s;3103100;358.700469070572;;;5.88248769223343;
;2020-2s;3103100;385.158471326165;;;5.95365486343224;
;2021-1s;3103100;799.644028929852;;;6.68416666480446;
;2021-2s;3103100;674.825984767025;;;6.51445485729116;
;2022-1s;3103100;970.931288709678;;;6.87825570235769;
;2022-2s;3103100;798.571044444445;;;6.68282393607603;
;2023-1s;3103100;728.580766884281;;;6.59109848686711;
;2023-2s;3103100;322.030749283154;;;5.77464703565326;
;2024-1s;3103100;411.587299116302;;;6.02002114613759;
;2024-2s;3103100;319.441186200717;;;5.76657317612372;
;2025-1s;3103100;;;;;
;2015-1s;3103140;21.8991326164875;;;3.08644702948501;
;2015-2s;3103140;25.6353225806452;;;3.2439711887588;
;2016-1s;3103140;;;;;
;2016-2s;3103140;;;;;
;2017-1s;3103140;;;;;
;2017-2s;3103140;;;;;
;2018-1s;3103140;;;;;
;2018-2s;3103140;;;;;
;2019-1s;3103140;;;;;
;2019-2s;3103140;;;;;
