YYYY-MM-DD;Value
2015-01-01;298.90967741935486
2015-02-01;245.47142857142856
2015-03-01;257.55806451612904
2015-04-01;307.57
2015-05-01;318.0032258064516
2015-06-01;295.1852666666667
2015-07-01;245.12506451612904
2015-08-01;225.9560322580645
2015-09-01;274.18
2015-10-01;368.5451612903226
2015-11-01;409.5833333333333
2015-12-01;331.56774193548387
2016-01-01;275.64193548387095
2016-02-01;266.5310344827586
2016-03-01;279.64193548387095
2016-04-01;291.79
2016-05-01;339.1322580645161
2016-06-01;285.1066666666667
2016-07-01;240.1880322580645
2016-08-01;255.44622580645162
2016-09-01;322.907
2016-10-01;362.2935483870968
2016-11-01;577.3366666666666
2016-12-01;336.45806451612907
2017-01-01;296.7032258064516
2017-02-01;340.5642857142857
2017-03-01;280.98387096774195
2017-04-01;348.6527666666667
2017-05-01;333.36761290322585
2017-06-01;243.48676666666668
2017-07-01;253.11612903225807
2017-08-01;225.29932258064517
2017-09-01;395.13
2017-10-01;435.6773225806451
2017-11-01;438.40333333333336
2017-12-01;360.98387096774195
2018-01-01;304.6161290322581
2018-02-01;284.2142857142857
2018-03-01;252.11612903225807
2018-04-01;298.8151
2018-05-01;332.26329032258064
2018-06-01;254.52213333333333
2018-07-01;231.62677419354839
2018-08-01;211.17464516129033
2018-09-01;218.8251
2018-10-01;453.28522580645165
2018-11-01;446.4133333333333
2018-12-01;436.4774193548387
2019-01-01;322.92903225806447
2019-02-01;256.5964285714286
2019-03-01;276.14193548387095
2019-04-01;296.42333333333335
2019-05-01;313.18387096774194
2019-06-01;257.91993333333335
2019-07-01;554.1537999999999
