Embalse,ar,br
Betania,13.08222825602575,0.0982
Guatape,0.01680655019835224,0.8087
Guavio,0.015135776685692041,0.6196
Miel-Norcasia,0.004464913518649662,0.7262
Muna,0.008356145373743627,0.0844
Neusa,0.003501151236117179,0.4144
Prado,0.001932502627934319,0.1913
Salvajina,0.00011690823798065535,0.932
Sisga,0.005200344954089471,0.4712
Tomine,0.008356145373743627,0.5549
