YYYY-MM-DD;Value
2015-01-01;934.332258064516
2015-02-01;1070.4607142857144
2015-03-01;807.5354838709677
2015-04-01;1983.27
2015-05-01;2852.1612903225805
2015-06-01;6318.533333333334
2015-07-01;7817.5161290322585
2015-08-01;7788.354838709677
2015-09-01;5459.6
2015-10-01;3251.9032258064517
2015-11-01;3275.7
2015-12-01;2308.4193548387098
2016-01-01;804.6003870967742
2016-02-01;535.4470689655172
2016-03-01;617.2999677419355
2016-04-01;3011.484766666667
2016-05-01;6161.7319677419355
2016-06-01;7279.011233333334
2016-07-01;8417.36041935484
2016-08-01;6584.260225806452
2016-09-01;5392.279533333333
2016-10-01;5318.645870967742
2016-11-01;4024.8174999999997
2016-12-01;3411.732258064516
2017-01-01;1352.069193548387
2017-02-01;868.65625
2017-03-01;985.3903225806451
2017-04-01;1690.8217
2017-05-01;5333.595193548387
2017-06-01;6944.593766666667
2017-07-01;7040.258032258065
2017-08-01;4257.06370967742
2017-09-01;3588.6118
2017-10-01;4360.787064516129
2017-11-01;3168.6784666666663
2017-12-01;1324.165870967742
2018-01-01;1012.7870967741936
2018-02-01;911.8473214285714
2018-03-01;925.1782258064517
2018-04-01;1998.1224333333334
2018-05-01;6144.348129032258
2018-06-01;9242.667066666667
2018-07-01;9233.649483870968
2018-08-01;8843.920580645161
2018-09-01;6420.5884
2018-10-01;5048.761161290322
2018-11-01;3099.254233333333
2018-12-01;979.8846774193548
2019-01-01;604.9565806451612
2019-02-01;530.3478571428572
2019-03-01;550.2991290322581
2019-04-01;1290.2649333333334
2019-05-01;4217.6614193548385
2019-06-01;7272.193933333333
2019-07-01;7981.225193548387
2019-08-01;7187.476741935484
2019-09-01;4209.004233333333
2019-10-01;3897.1352258064517
2019-11-01;3143.9754666666663
2019-12-01;1188.1516129032257
2020-01-01;676.1997096774193
2020-02-01;398.22324137931037
2020-03-01;402.12587096774195
2020-04-01;949.6603666666667
2020-05-01;3129.094612903226
2020-06-01;5956.359933333334
2020-07-01;6971.3170967741935
2020-08-01;4610.96735483871
2020-09-01;4056.1217333333334
2020-10-01;4370.0830645161295
2020-11-01;4017.4566666666665
2020-12-01;1969.8120967741936
2021-01-01;1042.707258064516
2021-02-01;587.4313214285714
2021-03-01;622.3064516129032
2021-04-01;2792.5741666666668
2021-05-01;7005.704612903226
2021-06-01;7823.461266666666
2021-07-01;7871.5104838709685
2021-08-01;7606.623548387097
2021-09-01;5817.410266666667
2021-10-01;4261.0474516129025
2021-11-01;2850.8226333333337
2021-12-01;946.6794516129032
2022-01-01;455.5937419354838
2022-02-01;396.75367857142857
2022-03-01;971.1979354838709
2022-04-01;1876.4156666666668
2022-05-01;4660.958774193548
2022-06-01;5997.0624
2022-07-01;6815.677677419355
2022-08-01;5848.660645161291
2022-09-01;3860.7901666666667
2022-10-01;4043.573225806452
2022-11-01;3861.8019666666664
2022-12-01;1603.834612903226
2023-01-01;1469.660064516129
2023-02-01;1227.7943928571428
2023-03-01;1237.8444516129032
2023-04-01;1080.7438
2023-05-01;2891.1215806451614
2023-06-01;5772.139733333333
2023-07-01;5753.085161290323
2023-08-01;5572.224290322581
2023-09-01;2440.8578333333335
2023-10-01;1708.278741935484
2023-11-01;2206.1770666666666
2023-12-01;1404.1979999999999
2024-01-01;1508.5832903225808
2024-02-01;805.3801379310345
2024-03-01;591.2910322580645
2024-04-01;869.7365666666666
2024-05-01;3402.224032258064
2024-06-01;5927.7332
2024-07-01;5133.06664516129
2024-08-01;3223.082741935484
2024-09-01;1963.4582333333335
2024-10-01;1959.4234193548386
2024-11-01;2188.122933333333
2024-12-01;2141.6890322580643
