YYYY-MM-DD;Value
2015-01-01;146.1516129032258
2015-02-01;168.9
2015-03-01;165.76129032258066
2015-04-01;148.31666666666666
2015-05-01;246.61612903225807
2015-06-01;376.06
2015-07-01;347.82903225806456
2015-08-01;316.7741935483871
2015-09-01;311.85333333333335
2015-10-01;342.46774193548384
2015-11-01;415.61333333333334
2015-12-01;325.9741935483871
2016-01-01;190.7002580645161
2016-02-01;151.10241379310347
2016-03-01;160.92945161290322
2016-04-01;151.39553333333333
2016-05-01;267.91435483870964
2016-06-01;466.6575
2016-07-01;568.2056129032258
2016-08-01;554.0960322580645
2016-09-01;442.3279333333333
2016-10-01;379.2287741935484
2016-11-01;447.9927666666666
2016-12-01;463.28225806451616
2017-01-01;296.35487096774193
2017-02-01;151.39149999999998
2017-03-01;137.82709677419356
2017-04-01;193.83100000000002
2017-05-01;365.6516451612903
2017-06-01;562.7607666666667
2017-07-01;701.8605806451612
2017-08-01;697.6517419354839
2017-09-01;669.9464333333333
2017-10-01;692.1153225806452
2017-11-01;491.2758
2017-12-01;441.3725806451613
2018-01-01;280.653
2018-02-01;215.6394285714286
2018-03-01;127.75741935483872
2018-04-01;139.89716666666666
2018-05-01;369.8438387096774
2018-06-01;533.9316
2018-07-01;653.4570322580646
2018-08-01;634.2477419354839
2018-09-01;522.0847666666666
2018-10-01;482.8353548387097
2018-11-01;498.0828666666667
2018-12-01;354.3357741935484
2019-01-01;192.6651935483871
2019-02-01;137.30385714285714
2019-03-01;105.69209677419354
2019-04-01;181.41896666666668
2019-05-01;277.9855806451613
2019-06-01;542.3249666666667
2019-07-01;554.8857419354838
2019-08-01;547.9832258064516
2019-09-01;469.0829333333333
2019-10-01;482.39029032258065
2019-11-01;507.0570666666666
2019-12-01;281.36187096774194
2020-01-01;205.45919354838708
2020-02-01;156.196
2020-03-01;135.45677419354837
2020-04-01;122.3635
2020-05-01;168.553
2020-06-01;275.0655666666667
2020-07-01;426.5012903225807
2020-08-01;615.2862903225806
2020-09-01;592.466
2020-10-01;607.0756451612904
2020-11-01;470.9292666666667
2020-12-01;410.2373225806452
2021-01-01;240.21880645161292
2021-02-01;143.04385714285715
2021-03-01;153.11716129032257
2021-04-01;277.2825
2021-05-01;330.71780645161294
2021-06-01;449.10743333333335
2021-07-01;517.8145483870968
2021-08-01;605.0724838709677
2021-09-01;664.1725666666666
2021-10-01;642.3894516129033
2021-11-01;527.2937333333333
2021-12-01;379.332
2022-01-01;202.58909677419354
2022-02-01;170.40860714285714
2022-03-01;216.47635483870968
2022-04-01;389.9128
2022-05-01;595.311870967742
2022-06-01;660.9581999999999
2022-07-01;709.7616129032258
2022-08-01;719.9131935483871
2022-09-01;714.0965333333334
2022-10-01;644.1684516129033
2022-11-01;548.5320333333333
2022-12-01;442.82809677419357
2023-01-01;307.0357419354839
2023-02-01;199.79696428571427
2023-03-01;142.30429032258064
2023-04-01;144.1493
2023-05-01;241.9022258064516
2023-06-01;462.2554666666667
2023-07-01;440.9831612903225
2023-08-01;475.3221290322581
2023-09-01;411.7925333333333
2023-10-01;388.3483548387097
2023-11-01;475.68289999999996
2023-12-01;284.5905483870968
2024-01-01;163.30125806451613
2024-02-01;101.76068965517241
2024-03-01;120.76354838709678
2024-04-01;166.84453333333335
2024-05-01;375.11667741935486
2024-06-01;566.7805666666667
2024-07-01;562.0699032258065
2024-08-01;538.0644838709677
2024-09-01;484.2185666666667
2024-10-01;457.5009677419355
2024-11-01;416.5604666666667
2024-12-01;249.62529032258064
