YYYY-MM-DD;Value
2015-01-01;23.175483870967742
2015-02-01;34.77107142857143
2015-03-01;41.61709677419355
2015-04-01;44.00366666666666
2015-05-01;38.05
2015-06-01;62.78463333333333
2015-07-01;57.54106451612903
2015-08-01;50.22741935483871
2015-09-01;29.49833333333333
2015-10-01;33.58641935483871
2015-11-01;35.5204
2015-12-01;20.945806451612903
2016-01-01;16.10025806451613
2016-02-01;20.38744827586207
2016-03-01;34.77983870967742
2016-04-01;45.36716666666667
2016-05-01;49.64306451612903
2016-06-01;65.64513333333333
2016-07-01;61.49309677419355
2016-08-01;43.97348387096774
2016-09-01;40.989066666666666
2016-10-01;37.80241935483871
2016-11-01;45.76306666666667
2016-12-01;34.42993548387097
2017-01-01;48.07512903225806
2017-02-01;24.404428571428575
2017-03-01;64.74312903225807
2017-04-01;47.93653333333334
2017-05-01;70.03703225806451
2017-06-01;51.6497
2017-07-01;61.75309677419355
2017-08-01;41.853903225806455
2017-09-01;35.64986666666667
2017-10-01;35.52164516129032
2017-11-01;42.6729
2017-12-01;30.361
2018-01-01;32.08683870967742
2018-02-01;29.506535714285715
2018-03-01;29.266935483870967
2018-04-01;51.329299999999996
2018-05-01;58.34483870967742
2018-06-01;75.29223333333333
2018-07-01;57.070032258064515
2018-08-01;46.938096774193546
2018-09-01;32.914233333333335
2018-10-01;40.29822580645161
2018-11-01;39.57273333333333
2018-12-01;28.72616129032258
2019-01-01;24.620322580645162
2019-02-01;30.094642857142855
2019-03-01;34.10009677419355
2019-04-01;46.5404
2019-05-01;52.79545161290323
2019-06-01;69.50703333333333
2019-07-01;59.54822580645162
2019-08-01;50.87190322580645
2019-09-01;28.841
2019-10-01;36.18238709677419
2019-11-01;36.29203333333333
2019-12-01;36.03267741935483
2020-01-01;25.151967741935483
2020-02-01;21.985344827586207
2020-03-01;27.09864516129032
2020-04-01;32.21066666666666
2020-05-01;58.24148387096775
2020-06-01;58.0935
2020-07-01;60.82096774193548
2020-08-01;41.14529032258064
2020-09-01;29.9971
2020-10-01;27.474129032258062
2020-11-01;31.529933333333336
2020-12-01;32.58364516129032
2021-01-01;32.43167741935484
2021-02-01;31.640607142857142
2021-03-01;65.1178064516129
2021-04-01;44.1726
2021-05-01;57.91677419354839
2021-06-01;60.96796666666667
2021-07-01;66.67770967741936
2021-08-01;48.39867741935483
2021-09-01;31.3867
2021-10-01;46.133645161290325
2021-11-01;49.2132
2021-12-01;36.903354838709674
2022-01-01;27.881290322580647
2022-02-01;52.061249999999994
2022-03-01;63.37625806451613
2022-04-01;58.1839
2022-05-01;55.28845161290322
2022-06-01;70.14316666666667
2022-07-01;74.38890322580646
2022-08-01;50.97338709677419
2022-09-01;43.352133333333335
2022-10-01;61.74351612903226
2022-11-01;58.4978
2022-12-01;38.66748387096774
2023-01-01;40.25790322580645
2023-02-01;29.165142857142857
2023-03-01;74.88196774193548
2023-04-01;51.21823333333334
2023-05-01;38.86664516129032
2023-06-01;50.216
2023-07-01;97.68867741935485
2023-08-01;47.839225806451616
2023-09-01;24.8096
2023-10-01;26.175612903225804
2023-11-01;54.93676666666667
2023-12-01;34.9123870967742
2024-01-01;18.107064516129032
2024-02-01;46.25824137931035
2024-03-01;29.128290322580643
2024-04-01;52.34676666666667
