YYYY-MM-DD;Value
2015-01-01;5.3066129032258065
2015-02-01;8.739785714285714
2015-03-01;18.675225806451614
2015-04-01;18.881866666666667
2015-05-01;10.806225806451613
2015-06-01;34.69766666666667
2015-07-01;20.949612903225805
2015-08-01;13.624064516129032
2015-09-01;7.189733333333334
2015-10-01;6.58725806451613
2015-11-01;19.078933333333335
2015-12-01;5.254903225806451
2016-01-01;2.993193548387097
2016-02-01;3.576241379310345
2016-03-01;4.558935483870967
2016-04-01;19.546466666666667
2016-05-01;27.679032258064513
2016-06-01;17.865266666666667
2016-07-01;26.78548387096774
2016-08-01;21.468258064516128
2016-09-01;22.314166666666665
2016-10-01;27.48225806451613
2016-11-01;39.14776666666667
2016-12-01;20.32209677419355
2017-01-01;14.940999999999999
2017-02-01;7.757035714285714
2017-03-01;11.801806451612903
2017-04-01;20.3899
2017-05-01;38.1048064516129
2017-06-01;33.82286666666667
2017-07-01;30.00632258064516
2017-08-01;16.101387096774193
2017-09-01;10.2646
2017-10-01;17.37758064516129
2017-11-01;36.388299999999994
2017-12-01;16.954387096774195
2018-01-01;16.751645161290323
2018-02-01;16.459785714285715
2018-03-01;9.255548387096775
2018-04-01;40.1685
2018-05-01;45.660387096774194
2018-06-01;29.018666666666665
2018-07-01;19.35077419354839
2018-08-01;21.61335483870968
2018-09-01;14.763633333333333
2018-10-01;22.426193548387097
2018-11-01;26.878733333333333
2018-12-01;10.192741935483872
2019-01-01;6.512612903225806
2019-02-01;8.379535714285714
2019-03-01;13.880806451612903
2019-04-01;27.3687
2019-05-01;34.70683870967742
2019-06-01;34.358399999999996
2019-07-01;21.316354838709678
2019-08-01;12.230903225806452
2019-09-01;11.334633333333333
2019-10-01;17.05216129032258
2019-11-01;33.70056666666667
2019-12-01;13.533516129032257
2020-01-01;17.555870967741935
2020-02-01;28.865827586206898
2020-03-01;45.51406451612903
2020-04-01;16.8854
2020-05-01;40.622129032258066
2020-06-01;90.14903333333334
2020-07-01;60.60251612903225
2020-08-01;31.547064516129034
2020-09-01;58.41036666666666
2020-10-01;6.993129032258064
2020-11-01;62.988566666666664
2020-12-01;32.255806451612905
2021-01-01;11.526322580645163
2021-02-01;13.92975
2021-03-01;49.983096774193555
2021-04-01;38.25019999999999
2021-05-01;80.4327741935484
2021-06-01;55.813766666666666
2021-07-01;26.67590322580645
2021-08-01;29.96606451612903
2021-09-01;29.37226666666667
2021-10-01;66.7117741935484
2021-11-01;55.8495
2021-12-01;15.098709677419356
2022-01-01;7.275903225806451
2022-02-01;11.45732142857143
2022-03-01;21.012451612903224
2022-04-01;26.950300000000002
2022-05-01;47.52503225806452
2022-06-01;52.58176666666667
2022-07-01;40.137903225806454
2022-08-01;19.24009677419355
2022-09-01;22.315833333333334
2022-10-01;51.98048387096774
2022-11-01;54.320299999999996
2022-12-01;20.055774193548388
2023-01-01;29.10667741935484
2023-02-01;11.151142857142858
2023-03-01;29.031935483870967
2023-04-01;20.683600000000002
2023-05-01;32.377870967741934
2023-06-01;36.434666666666665
2023-07-01;22.040290322580645
2023-08-01;22.30690322580645
2023-09-01;14.098966666666666
2023-10-01;24.96183870967742
2023-11-01;33.541533333333334
2023-12-01;13.918387096774195
2024-01-01;6.100806451612903
2024-02-01;6.860103448275862
2024-03-01;9.036032258064516
2024-04-01;17.151999999999997
2024-05-01;39.56016129032258
2024-06-01;33.1376
2024-07-01;20.950322580645164
2024-08-01;9.825806451612902
2024-09-01;3.532423076923077
